name,pet_type,breed,age,sex,size,location,city,district,province,country,description,health_status,vaccinated,energy_level,temperament,affectionate,apartment_friendly,kids_friendly,social_with_children,social_with_other_pets,trainability,grooming_needs,exercise_needs,status,available,image,adoption_fee
Max,dog,Golden Retriever,3,male,large,"Thamel, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Friendly and energetic dog that loves to play fetch and swim. Great with families.,Excellent health,true,high,friendly,true,false,true,true,true,easy,medium,high,available,true,https://placedog.net/500/500?id=1,250
Bella,cat,Persian,2,female,medium,"Lakeside, Pokhara",Pokhara,Kaski,Gandaki,Nepal,Beautiful Persian cat with long silky fur. Loves to lounge and be pampered.,Healthy,true,low,calm,true,true,false,false,false,medium,high,low,available,true,https://placekitten.com/500/500?image=1,150
Charlie,dog,Beagle,5,male,medium,"Pulchowk, Lalitpur",Lalitpur,Lalitpur,Bagmati,Nepal,Curious and friendly beagle with a great nose. Loves long walks and tracking scents.,Good health - minor allergy,true,medium,friendly,true,true,true,true,true,medium,low,medium,available,true,https://placedog.net/500/500?id=2,200
Luna,cat,Siamese,1,female,small,"Biratnagar Main Road",Biratnagar,Morang,Koshi,Nepal,Playful and vocal Siamese kitten. Very intelligent and social.,Excellent health,true,high,active,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=2,180
Rocky,dog,German Shepherd,4,male,large,"Dhapasi, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Loyal and protective German Shepherd. Well-trained and great for active families.,Healthy,true,high,calm,true,false,true,true,false,easy,medium,high,available,true,https://placedog.net/500/500?id=3,300
Daisy,dog,Labrador Retriever,2,female,large,"Budhanilkantha, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Sweet and gentle Lab who loves everyone. Perfect family companion.,Excellent health,true,high,friendly,true,false,true,true,true,easy,low,high,available,true,https://placedog.net/500/500?id=4,275
Whiskers,cat,Maine Coon,6,male,large,"Mahendrapool, Pokhara",Pokhara,Kaski,Gandaki,Nepal,Gentle giant Maine Coon. Very friendly and good with children and other pets.,Good health,true,medium,friendly,true,true,true,true,true,medium,high,medium,available,true,https://placekitten.com/500/500?image=3,175
Buddy,dog,Poodle,3,male,medium,"Jhamsikhel, Lalitpur",Lalitpur,Lalitpur,Bagmati,Nepal,Smart and hypoallergenic poodle. Great for families with allergies.,Excellent health,true,medium,active,true,true,true,true,true,easy,high,medium,available,true,https://placedog.net/500/500?id=5,225
Cleo,cat,Bengal,2,female,medium,"Dharan Main Road",Dharan,Sunsari,Koshi,Nepal,Active and playful Bengal with beautiful markings. Loves to climb and explore.,Healthy,true,high,active,false,true,false,false,true,medium,low,high,available,true,https://placekitten.com/500/500?image=4,200
Duke,dog,Bulldog,4,male,medium,"Bhaktapur Durbar Square",Bhaktapur,Bhaktapur,Bagmati,Nepal,Calm and affectionate bulldog. Great apartment dog with moderate exercise needs.,Good health - monitored breathing,true,low,calm,true,true,true,true,false,medium,low,low,available,true,https://placedog.net/500/500?id=6,350
Mittens,cat,Ragdoll,3,female,medium,"Hetauda Bazar",Hetauda,Makwanpur,Bagmati,Nepal,Docile and affectionate Ragdoll. Loves to be held and follows owners around.,Excellent health,true,low,calm,true,true,true,true,true,easy,medium,low,available,true,https://placekitten.com/500/500?image=5,195
Zeus,dog,Rottweiler,5,male,large,"Butwal Main Road",Butwal,Rupandehi,Lumbini,Nepal,Strong and confident Rottweiler. Well-socialized and protective of family.,Healthy,true,medium,calm,true,false,false,false,false,medium,low,medium,available,true,https://placedog.net/500/500?id=7,280
Nala,cat,Scottish Fold,2,female,small,"Birgunj Parsa Street",Birgunj,Parsa,Madhesh,Nepal,Adorable Scottish Fold with sweet personality. Quiet and gentle companion.,Excellent health,true,low,calm,true,true,true,true,true,easy,low,low,available,true,https://placekitten.com/500/500?image=6,220
Toby,dog,Corgi,3,male,small,"Nepalgunj Road",Nepalgunj,Banke,Lumbini,Nepal,Energetic and smart Corgi. Herding instinct makes him playful and active.,Good health,true,high,active,true,true,true,true,true,easy,medium,high,available,true,https://placedog.net/500/500?id=8,265
Shadow,cat,Black Shorthair,4,male,medium,"Itahari Chowk",Itahari,Sunsari,Koshi,Nepal,Sleek black cat with striking green eyes. Independent but affectionate.,Healthy,true,medium,shy,true,true,false,false,true,medium,low,low,available,true,https://placekitten.com/500/500?image=7,125
Bailey,dog,Cocker Spaniel,6,female,medium,"Janakpur City Center",Janakpur,Dhanusha,Madhesh,Nepal,Gentle and loving Cocker Spaniel. Great with seniors and families alike.,Good health - senior care,true,low,friendly,true,true,true,true,true,easy,high,low,available,true,https://placedog.net/500/500?id=9,175
Simba,cat,Orange Tabby,1,male,medium,"Gorkha Bazaar",Gorkha,Gorkha,Gandaki,Nepal,Playful orange tabby kitten full of energy. Loves toys and laser pointers.,Excellent health,true,high,active,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=8,145
Cooper,dog,Australian Shepherd,2,male,medium,"Baneshwor, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Highly intelligent Aussie who needs mental stimulation. Great for active owners.,Excellent health,true,high,active,true,false,true,true,true,easy,medium,high,available,true,https://placedog.net/500/500?id=10,290
Princess,cat,Himalayan,5,female,medium,"Chitwan National Park Area",Bharatpur,Chitwan,Bagmati,Nepal,Beautiful Himalayan with blue eyes. Calm and loves quiet environments.,Good health,true,low,calm,true,true,false,false,false,medium,high,low,available,true,https://placekitten.com/500/500?image=9,165
Ace,dog,Boxer,4,male,large,"Dillibazar, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Energetic boxer with a playful spirit. Great with active families and kids.,Healthy,true,high,friendly,true,false,true,true,true,medium,low,high,available,true,https://placedog.net/500/500?id=11,240
Oliver,cat,British Shorthair,3,male,medium,"Koteshwor, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Calm and independent British Shorthair. Perfect for working professionals.,Excellent health,true,low,calm,false,true,false,false,true,easy,low,low,available,true,https://placekitten.com/500/500?image=10,190
Sadie,dog,Shih Tzu,7,female,small,"Kalanki, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Senior Shih Tzu with lots of love to give. Calm and perfect lap dog.,Good health - senior,true,low,calm,true,true,true,true,true,easy,high,low,available,true,https://placedog.net/500/500?id=12,150
Tiger,cat,American Shorthair,2,male,medium,"Damak Municipality",Damak,Jhapa,Koshi,Nepal,Friendly tabby who gets along with everyone. Playful and adaptable.,Healthy,true,medium,friendly,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=11,135
Ruby,dog,Chihuahua,3,female,small,"Patan Durbar Square",Lalitpur,Lalitpur,Bagmati,Nepal,Tiny but mighty Chihuahua. Loyal to her owner and great apartment pet.,Excellent health,true,medium,shy,true,true,false,false,false,medium,low,low,available,true,https://placedog.net/500/500?id=13,180
Smokey,cat,Russian Blue,4,male,medium,"Lazimpat, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Elegant Russian Blue with silvery coat. Quiet and affectionate with family.,Good health,true,low,calm,true,true,true,true,true,easy,low,low,available,true,https://placekitten.com/500/500?image=12,210
Harley,dog,Husky,3,male,large,"Boudha Stupa Area",Kathmandu,Kathmandu,Bagmati,Nepal,Beautiful Husky with striking blue eyes. Needs lots of exercise and space.,Healthy,true,high,active,true,false,true,true,true,medium,high,high,available,true,https://placedog.net/500/500?id=14,320
Chloe,cat,Calico,5,female,medium,"Bhimdatta Municipality",Bhimdatta,Kanchanpur,Sudurpashchim,Nepal,Sweet calico with unique markings. Affectionate and loves window perches.,Excellent health,true,medium,friendly,true,true,true,true,true,easy,low,low,available,true,https://placekitten.com/500/500?image=13,140
Jack,dog,Jack Russell Terrier,2,male,small,"Dhangadhi Main Road",Dhangadhi,Kailali,Sudurpashchim,Nepal,High-energy terrier who loves to play. Needs active owner and mental stimulation.,Good health,true,high,active,true,true,true,true,false,medium,low,high,available,true,https://placedog.net/500/500?id=15,195
Lily,cat,Sphynx,3,female,medium,"Ilam Tea Garden Area",Ilam,Ilam,Koshi,Nepal,Unique hairless cat that loves warmth. Very affectionate and social.,Healthy,true,medium,friendly,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=14,275
Bruno,dog,Doberman,5,male,large,"Maitighar, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Intelligent and loyal Doberman. Well-trained guard dog with gentle nature.,Excellent health,true,medium,calm,true,false,false,false,false,easy,low,medium,available,true,https://placedog.net/500/500?id=16,310
Gracie,cat,Tonkinese,2,female,medium,"Baglung Bazaar",Baglung,Baglung,Gandaki,Nepal,Playful and social Tonkinese. Loves interaction and playing fetch.,Good health,true,high,active,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=15,185
Oscar,dog,Pug,4,male,small,"Kapan, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Charming pug with great personality. Loves people and being the center of attention.,Good health - monitored breathing,true,low,friendly,true,true,true,true,true,medium,low,low,available,true,https://placedog.net/500/500?id=17,225
Patches,cat,Domestic Shorthair,6,female,medium,"Thankot Border Area",Kathmandu,Kathmandu,Bagmati,Nepal,Sweet senior cat looking for a quiet home. Very low maintenance and loving.,Good health - senior,true,low,calm,true,true,true,true,true,easy,low,low,available,true,https://placekitten.com/500/500?image=16,100
Ranger,dog,Border Collie,2,male,medium,"Birtamod Chowk",Birtamod,Jhapa,Koshi,Nepal,Highly intelligent Border Collie. Needs job to do and excels at training.,Excellent health,true,high,active,true,false,true,true,true,easy,medium,high,available,true,https://placedog.net/500/500?id=18,285
Midnight,cat,Bombay,3,male,medium,"Kirtipur Municipality",Kirtipur,Kathmandu,Bagmati,Nepal,Sleek black Bombay with copper eyes. Affectionate and dog-like personality.,Healthy,true,medium,friendly,true,true,true,true,true,easy,low,low,available,true,https://placekitten.com/500/500?image=17,170
Molly,dog,Cavalier King Charles,5,female,small,"Balaju Water Garden Area",Kathmandu,Kathmandu,Bagmati,Nepal,Gentle and affectionate Cavalier. Perfect companion for any family.,Good health,true,low,calm,true,true,true,true,true,easy,medium,low,available,true,https://placedog.net/500/500?id=19,260
Ginger,cat,Abyssinian,2,female,medium,"Dhapakhel, Lalitpur",Lalitpur,Lalitpur,Bagmati,Nepal,Active and curious Abyssinian. Loves to climb and explore high places.,Excellent health,true,high,active,true,true,false,false,true,medium,low,high,available,true,https://placekitten.com/500/500?image=18,205
Rex,dog,Great Dane,4,male,large,"Godawari Botanical Garden",Lalitpur,Lalitpur,Bagmati,Nepal,Gentle giant Great Dane. Despite size is calm and great with children.,Good health,true,medium,calm,true,false,true,true,false,easy,low,medium,available,true,https://placedog.net/500/500?id=20,350
Misty,cat,Norwegian Forest Cat,5,female,large,"Nagarkot Hill Station",Bhaktapur,Bhaktapur,Bagmati,Nepal,Beautiful forest cat with thick coat. Independent but affectionate.,Healthy,true,medium,calm,true,true,true,true,true,medium,high,medium,available,true,https://placekitten.com/500/500?image=19,195
Buster,dog,Basset Hound,6,male,medium,"Changunarayan Temple Area",Bhaktapur,Bhaktapur,Bagmati,Nepal,Laid-back Basset with droopy ears. Loves sniffing and leisurely walks.,Good health - senior care,true,low,calm,true,true,true,true,true,easy,low,low,available,true,https://placedog.net/500/500?id=21,170
Peaches,cat,Exotic Shorthair,3,female,medium,"Sundhara, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Cute flat-faced cat with teddy bear appearance. Very sweet and calm.,Excellent health,true,low,calm,true,true,true,true,true,easy,medium,low,available,true,https://placekitten.com/500/500?image=20,230
Thor,dog,Mastiff,5,male,large,"Swayambhunath Area",Kathmandu,Kathmandu,Bagmati,Nepal,Massive but gentle Mastiff. Great protector and wonderful with family.,Good health,true,low,calm,true,false,true,true,false,medium,low,low,available,true,https://placedog.net/500/500?id=22,300
Snowball,cat,White Turkish Angora,2,female,medium,"Sallaghari, Bhaktapur",Bhaktapur,Bhaktapur,Bagmati,Nepal,Elegant white cat with silky fur. Playful and enjoys interactive toys.,Healthy,true,medium,active,true,true,true,true,true,easy,high,medium,available,true,https://placekitten.com/500/500?image=21,215
Rusty,dog,Irish Setter,3,male,large,"Kavre District Center",Dhulikhel,Kavre,Bagmati,Nepal,Beautiful red setter with boundless energy. Loves outdoor activities.,Excellent health,true,high,friendly,true,false,true,true,true,easy,high,high,available,true,https://placedog.net/500/500?id=23,270
Muffin,cat,Munchkin,4,female,small,"Sankhu Village",Sankhu,Kathmandu,Bagmati,Nepal,Adorable short-legged Munchkin. Playful and surprisingly agile.,Good health,true,medium,active,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=22,250
Zeus,dog,Pit Bull Terrier,4,male,large,"Chabahil, Kathmandu",Kathmandu,Kathmandu,Bagmati,Nepal,Loving and misunderstood Pit Bull. Great with families when properly trained.,Healthy,true,high,friendly,true,false,true,true,false,medium,low,high,available,true,https://placedog.net/500/500?id=24,175
Precious,cat,Birman,3,female,medium,"Bhaisepati, Lalitpur",Lalitpur,Lalitpur,Bagmati,Nepal,Beautiful Birman with white paws. Gentle and loves to be around people.,Excellent health,true,low,calm,true,true,true,true,true,easy,medium,low,available,true,https://placekitten.com/500/500?image=23,200
Scout,dog,Vizsla,2,male,medium,"Lumbini Sacred Garden",Lumbini,Rupandehi,Lumbini,Nepal,Energetic hunting dog that bonds strongly with family. Needs lots of exercise.,Good health,true,high,active,true,false,true,true,true,easy,low,high,available,true,https://placedog.net/500/500?id=25,260
Bella2,cat,Ragamuffin,3,female,large,"Devghat Religious Site",Devghat,Tanahun,Gandaki,Nepal,Fluffy and affectionate Ragamuffin. Very patient with children and other pets.,Excellent health,true,low,calm,true,true,true,true,true,easy,high,low,available,true,https://placekitten.com/500/500?image=24,180
Max2,dog,Alaskan Malamute,4,male,large,"Manang Mountain Area",Manang,Manang,Gandaki,Nepal,Strong and majestic Malamute. Loves cold weather and outdoor adventures.,Healthy,true,high,active,true,false,true,true,true,medium,high,high,available,true,https://placedog.net/500/500?id=26,340
Luna2,cat,Burmese,2,female,medium,"Mustang District",Jomsom,Mustang,Gandaki,Nepal,Sleek Burmese with golden eyes. Very social and follows owner everywhere.,Good health,true,medium,friendly,true,true,true,true,true,easy,low,medium,available,true,https://placekitten.com/500/500?image=25,195
Rocky2,dog,Saint Bernard,5,male,large,"Syangja Hill Station",Syangja,Syangja,Gandaki,Nepal,Gentle giant Saint Bernard. Excellent with children and very protective.,Excellent health,true,medium,calm,true,false,true,true,true,easy,high,medium,available,true,https://placedog.net/500/500?id=27,380
